"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2020","159,400","161,500","166,000","155,400","53.87K","-1.42%"
"03/14/2020","161,700","174,500","177,100","159,800","28.36K","-7.39%"
"03/13/2020","174,600","142,700","179,900","130,000","146.38K","22.44%"
"03/12/2020","142,600","233,400","234,200","136,700","168.98K","-38.93%"
"03/11/2020","233,500","242,500","244,900","218,700","59.53K","-3.67%"
"03/10/2020","242,400","248,800","250,000","237,700","24.71K","-2.57%"
"03/09/2020","248,800","244,900","256,300","232,800","65.78K","1.72%"
"03/08/2020","244,600","285,000","285,000","240,600","87.45K","-14.27%"
"03/07/2020","285,300","290,900","300,900","284,200","38.79K","-1.93%"
"03/06/2020","290,900","272,000","291,000","271,200","15.52K","6.95%"
"03/05/2020","272,000","268,900","277,900","268,900","18.00K","1.15%"
"03/04/2020","268,900","268,500","274,000","265,100","9.42K","0.15%"
"03/03/2020","268,500","277,700","278,100","265,000","27.10K","-3.28%"
"03/02/2020","277,600","264,400","279,800","262,900","26.73K","4.95%"
"03/01/2020","264,500","264,600","274,500","259,600","26.62K","0.00%"
"02/29/2020","264,500","275,900","281,500","264,200","16.41K","-4.13%"
"02/28/2020","275,900","276,100","285,000","260,900","27.29K","0.11%"
"02/27/2020","275,600","273,700","288,100","254,000","28.37K","0.84%"
"02/26/2020","273,300","300,100","304,200","266,000","56.33K","-8.90%"
"02/25/2020","300,000","319,800","320,300","298,400","29.37K","-6.25%"
"02/24/2020","320,000","324,700","328,700","312,400","22.26K","-1.39%"
"02/23/2020","324,500","311,100","325,200","311,000","12.33K","4.31%"
"02/22/2020","311,100","314,900","316,600","305,900","7.96K","-1.11%"
"02/21/2020","314,600","308,800","318,600","305,500","15.51K","1.85%"
"02/20/2020","308,900","308,100","314,800","296,300","24.85K","0.23%"
"02/19/2020","308,200","329,100","333,800","305,000","57.85K","-6.27%"
"02/18/2020","328,800","315,400","332,500","305,900","54.26K","4.18%"
"02/17/2020","315,600","305,700","316,500","283,300","45.87K","3.24%"
"02/16/2020","305,700","307,000","321,200","280,000","69.81K","-0.42%"
"02/15/2020","307,000","327,200","330,300","305,700","63.52K","-6.17%"
"02/14/2020","327,200","309,500","328,800","302,200","32.38K","5.58%"
"02/13/2020","309,900","303,500","318,100","294,300","25.67K","2.11%"
"02/12/2020","303,500","272,300","314,400","272,300","66.96K","11.34%"
"02/11/2020","272,600","260,800","275,200","253,300","44.84K","4.40%"
"02/10/2020","261,100","266,300","266,700","253,700","16.14K","-1.95%"
"02/09/2020","266,300","261,100","268,300","259,300","15.75K","2.11%"
"02/08/2020","260,800","262,100","265,600","249,000","16.84K","-0.50%"
"02/07/2020","262,100","245,800","263,800","245,800","19.74K","6.54%"
"02/06/2020","246,000","234,300","249,900","230,000","20.07K","4.99%"
"02/05/2020","234,300","218,400","237,300","218,000","24.63K","7.23%"
"02/04/2020","218,500","219,700","221,500","213,100","13.24K","-0.59%"
"02/03/2020","219,800","217,200","223,200","216,300","10.77K","1.24%"
"02/02/2020","217,100","211,900","221,900","208,300","16.89K","2.50%"
"02/01/2020","211,800","207,500","212,200","207,100","6.88K","1.92%"
"01/31/2020","207,800","209,200","211,000","202,600","13.74K","-0.62%"
"01/30/2020","209,100","199,400","211,200","195,400","36.07K","4.71%"
"01/29/2020","199,700","198,100","203,600","197,600","11.11K","0.76%"
"01/28/2020","198,200","193,500","198,600","193,500","15.71K","2.43%"
"01/27/2020","193,500","194,300","196,600","191,500","19.93K","-0.36%"
"01/26/2020","194,200","187,200","194,500","186,500","10.20K","3.74%"
"01/25/2020","187,200","188,800","189,200","184,300","3.60K","-0.85%"
"01/24/2020","188,800","188,700","190,700","182,000","6.05K","0.05%"
"01/23/2020","188,700","192,000","192,400","185,000","8.56K","-1.87%"
"01/22/2020","192,300","193,600","196,300","189,700","4.96K","-0.41%"
"01/21/2020","193,100","189,800","194,300","188,600","9.95K","1.74%"
"01/20/2020","189,800","189,900","192,500","184,700","9.66K","-0.11%"
"01/19/2020","190,000","197,100","202,200","184,300","14.87K","-3.80%"
"01/18/2020","197,500","190,700","204,200","187,000","28.27K","3.46%"
"01/17/2020","190,900","184,400","196,600","181,900","24.26K","3.75%"
"01/16/2020","184,000","183,300","185,700","177,000","14.48K","0.16%"
"01/15/2020","183,700","182,200","191,400","177,200","21.52K","0.60%"
"01/14/2020","182,600","162,500","185,000","162,500","91.29K","12.37%"
"01/13/2020","162,500","164,800","165,000","160,800","4.22K","-1.34%"
"01/12/2020","164,700","161,000","164,700","160,400","5.77K","2.17%"
"01/11/2020","161,200","163,300","166,100","160,800","15.83K","-1.29%"
"01/10/2020","163,300","157,600","165,100","154,400","28.25K","3.75%"
"01/09/2020","157,400","159,200","160,600","154,800","9.80K","-0.94%"
"01/08/2020","158,900","164,600","170,400","156,100","18.52K","-3.52%"
"01/07/2020","164,700","164,600","166,400","159,300","15.24K","-0.06%"
"01/06/2020","164,800","155,700","164,800","155,200","13.60K","5.84%"
"01/05/2020","155,700","154,500","158,700","154,000","14.25K","0.71%"
"01/04/2020","154,600","154,700","156,300","152,600","10.44K","-0.13%"
"01/03/2020","154,800","146,800","155,600","145,000","13.08K","5.45%"
"01/02/2020","146,800","150,600","150,700","146,700","8.49K","-2.59%"
"01/01/2020","150,700","148,900","153,200","148,600","4.92K","1.01%"
"12/31/2019","149,200","151,400","154,000","148,100","13.70K","-1.52%"
"12/30/2019","151,500","154,100","156,200","150,000","8.31K","-1.75%"
"12/29/2019","154,200","147,600","158,200","147,100","24.30K","4.47%"
"12/28/2019","147,600","146,000","149,300","145,800","8.51K","1.10%"
"12/27/2019","146,000","146,100","147,100","142,100","8.50K","0.00%"
"12/26/2019","146,000","145,400","152,800","144,200","20.94K","0.48%"
"12/25/2019","145,300","148,700","148,900","144,100","13.29K","-2.29%"
"12/24/2019","148,700","148,700","150,500","147,500","6.65K","0.00%"
"12/23/2019","148,700","153,100","156,200","146,900","14.94K","-2.87%"
"12/22/2019","153,100","147,900","154,300","147,500","11.49K","3.80%"
"12/21/2019","147,500","148,700","149,000","147,000","2.44K","-1.07%"
"12/20/2019","149,100","149,000","150,600","146,400","5.70K","0.07%"
"12/19/2019","149,000","154,700","156,000","146,600","5.59K","-3.68%"
"12/18/2019","154,700","142,700","156,900","136,700","32.84K","8.41%"
"12/17/2019","142,700","155,300","155,700","140,300","24.24K","-8.11%"
"12/16/2019","155,300","166,700","166,700","151,800","30.34K","-6.84%"
"12/15/2019","166,700","166,000","168,400","163,700","3.63K","0.42%"
"12/14/2019","166,000","169,600","169,900","165,200","4.88K","-2.01%"
